date_time,camera,video,trial,tank,group_ID,treatment,novel_numchases,novel_timechases,individual,latency,max_minus_lat
8/16/17,4,NA,1,8,2L,2,9,25189,2,13,287
8/18/17,4,NA,2,8,2L,2,3,3229,2,9,291
8/20/17,4,1,3,8,2L,2,0,0,2,NA,NA
9/29/17,4,1,1,7,2L_2,2,19,134640,2,156,144
10/1/17,4,1,2,7,2L_2,2,16,90047,2,8,292
10/3/17,4,1,3,7,2L_2,2,0,0,2,NA,NA
8/16/17,1,NA,1,1,2M,2,1,2471,2,38,262
8/18/17,1,NA,2,1,2M,2,0,0,2,9,291
8/20/17,1,2,3,1,2M,2,0,0,2,8,292
9/29/17,4,1,1,8,2M_2,2,0,0,2,NA,NA
10/1/17,4,1,2,8,2M_2,2,0,0,2,300,0
10/3/17,4,1,3,8,2M_2,2,0,0,2,300,0
8/16/17,1,NA,1,2,2N,2,4,4569,2,72,228
8/18/17,1,NA,2,2,2N,2,0,0,2,47,253
8/20/17,1,2,3,2,2N,2,0,0,2,23,277
9/29/17,1,3,1,1,2N_2,2,4,4468,2,13,287
10/1/17,1,2,2,1,2N_2,2,8,12582,2,6,294
10/3/17,1,2,3,1,2N_2,2,20,36050,2,48,252
8/16/17,4,NA,1,7,2O,2,4,25602,2,NA,NA
8/18/17,4,NA,2,7,2O,2,1,598,2,14,286
8/20/17,4,2,3,7,2O,2,10,73516,2,5,295
9/29/17,1,3,1,2,2O_2,2,0,0,2,19,281
10/1/17,1,2,2,2,2O_2,2,0,0,2,NA,NA
8/16/17,4,NA,1,8,2P,2,0,0,2,35,265
8/18/17,4,NA,2,8,2P,2,0,0,2,38,262
8/20/17,4,2,3,8,2P,2,0,0,2,48,252
9/29/17,4,2,1,7,2P_2,2,0,0,2,NA,NA
10/1/17,4,2,2,7,2P_2,2,0,0,2,NA,NA
10/3/17,4,2,3,7,2P_2,2,0,0,2,23,277
8/15/17,2,NA,1,3,4A,4,7,14451,2,8,292
8/17/17,2,NA,2,3,4A,4,1,500,2,7,293
8/19/17,2,NA,3,3,4A,4,3,8301,2,5,295
9/28/17,2,1,1,3,4A_2,4,0,0,2,19,281
9/30/17,2,1,2,3,4A_2,4,6,10440,2,3,297
10/2/17,2,1,3,3,4A_2,4,13,12660,2,148,152
10/7/17,RH2,1,1,3,4A_3,4,0,0,2,53,247
10/9/17,2,1,2,3,4A_3,4,6,14846,2,5,295
10/11/17,2,1,3,3,4A_3,4,17,107562,2,2,298
8/15/17,2,NA,1,4,4B,4,6,6472,2,5,295
8/17/17,2,NA,2,4,4B,4,0,0,2,11,289
9/28/17,2,1,1,4,4B_2,4,1,719,2,20,280
9/30/17,2,1,2,4,4B_2,4,12,39852,2,2,298
10/2/17,2,1,3,4,4B_2,4,9,12436,2,4,296
10/7/17,RH2,1,1,4,4B_3,4,0,0,2,25,275
10/9/17,2,1,2,4,4B_3,4,3,5818,2,6,294
10/11/17,2,1,3,4,4B_3,4,1,3751,2,3,297
8/15/17,5,NA,1,9,4C,4,16,16644,2,7,293
8/19/17,5,NA,3,9,4C,4,24,61715,2,6,294
